nct_id,text_sha256,split,label,source,labeled_at,assisted,method,panel_outcome
NCT00677326,88cf42be993836539bcdc4fb1b128cc1b098385e44b1c24dce3e8bfaec500d2e,test,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00683449,45d3eec2fd267020c59efe56bd4336df9fd05dffea687a7bb440f7f156bf25a6,test,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00704301,684e560255013001877bf8d09d9d5c79e97912ec8c837767e8bce973b01395b5,test,safety,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00724321,06f3d080c78314c554c371efb30d9abd16de5dfdbb017cbe5efd9911f90b90df,dev,administrative,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00746421,622216b5cbc870ea73b6c8349d36d5ac48b7402f6b48dda8ed9a0b58e5851487,test,funding,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00752479,099a38429597c708f2122606007953660f0497856c428d20dd1a8cb31dfc19d4,test,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00756106,cba50cc39be3a45509c61e2bd4f2312970e65117d82ed3c81e07bf4de3e99739,test,funding,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00759083,345715d6fad13eed9eced702e909ae916e925ebfb8f76b0263bd042ffc618716,dev,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00761254,9ef31a323cd2536b7a9c98d14ba769869118317667e04b59e55930880d1356fd,test,administrative,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00761514,cd12e3ffaf0428b89c1cb71dbafda9957f5978ff2e682df82f0dcb201ca5be63,test,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00767988,a749c436d9c0c093b6e9561fc536a45436dca175a63b8addbb9e991a169d0cc2,test,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00773084,2f39927d905fdd4d020e8d98f9275dc8146101ba4012d18235c58764cc8b450b,test,administrative,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00815516,a8718d856863e3a881de7a50ddccaf1beee1ec9c45254884c823b067d499164d,test,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00825747,3e9182291d5d63308347467f5b75e1029e023eeb074b2b915cac2b1fa443fe3a,test,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00830245,8edaf908ead74b035f636bf895a035d60722d7d322df7008f821c57e24e78019,test,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00852059,29da4caef007164c963735bc7f46eb8db1e65de5eb435717f6446b107b07c04a,test,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00861887,c818b83f6a2de747ddb1fb8279b26a95570222f0c8750ddaf09e07dd8fa59878,test,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00870519,9f04d90db42c840ecc2996bd6ff005bf2f7ade4f019e929926ab5b7c134ee2ed,test,efficacy,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00870961,f01bcbfe4c0dae9dc4c498a404204db4cb04099101a19670d78804111a63e2ba,test,administrative,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00880542,aa43e7d2fe7c8aff83b47cfd021cae4afbce6ea3936fb54897e577c3638fc861,test,funding,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00901303,c97945a8b9b7ed2302251e333a15a40c4f40b32cc4773f4f4054b60f7e66dd56,test,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00904137,2df087436ff0b52800255104d43ec2f6a75d09dbdca3b0f8f4fa73af4e0767a7,test,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00914719,b16fbc9a8f3ecdd586e1e5712bf2ce78bd0edc70a0c3e89feeb923dc7e27eadf,test,administrative,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00915668,741ba672524ad6c5dfa9c13090ad4853a9eef750d7930f024713cbd02d790d81,dev,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00920309,768c5a9f7ca8cfdaa5f36dfac09449f0f3000895123037f95dba07253c5e04ed,test,efficacy,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00932672,703c8ad93239006381e2665897883bd84601eb0c567b573e59cd0c989edda638,test,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00938353,ece1beae7a67e6841cb4d417d1bd658a6c84dd1c7fb10cf2cac1706c9c92f34c,test,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00955474,a758c6bdc46b2886b4a61cdbec3d0bc2e62f1037cb202ce7257c8be5ca2ba3e0,test,business,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00964990,c944a0ebc13970c04fca04403c58df686a54a1fc3025b14355b1f795ae03b1f4,test,administrative,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00965003,9f8169803db31ed4c61e34ba5f7201a026a9c4a56ef16568275a7e0d47a9d373,test,administrative,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00986440,093d304ab83e20ad00bac865f9d3286bb66fe05233cb281fe1d9b285f21ea314,dev,business,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,majority
NCT00997516,c6f25b686fd97f4e28f2d2dfb2d4691103318c498efc93c8dea78b63b35409b4,test,safety,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,majority
NCT00999245,b24aea44181840fdf490dfd4db5f0133e312349b35966391af72885b5072e968,dev,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01002183,b871c718ce7d8053c71b392b6eeb9d76ebf9e894660e1dd82038837154f8076f,test,business,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01002495,375a51398907045ffcffde82bd37c4e78accb912e735c05c863191b9c6469d5c,test,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01009294,07ec686abde9138f05f919f1ee3c5fcd8319a33bb4f900fa9d46bfdb3ca5fdd0,test,efficacy,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01029925,016baaa590a20c91460cdf464063a0d19d550edc6ba58d7258697dcbf7483632,test,safety,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01051544,a5379e154c4350e25ee6337c00a20f9776c22c841c6df570cbeb0726843826e6,test,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01089595,40786730b98fc4f4ef3ee6e0e4142457a08b5289637f2a0df300f2221b20e098,test,business,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01099995,be6133f229aeaf2e1d6ea9766e8944f5b768c1264531ce10c53645c92f8fcc89,test,efficacy,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01108744,ee1561d8161b82ba96c359f6c1b63fd7647cd5b2e4685c16ff128b4189085957,test,administrative,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,majority
NCT01127503,a4a35a915d92d2c33746bd1f5c0f799a2623336606fa58c6995ce1a3437bc1a4,test,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01127633,805e7268cdf69eacccfa62a49bda2f50acfada8d3ddbbd2f7ca7438ed6bad7c6,test,efficacy,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01128452,ef78bcc98ee487246e10f84387a4fcd6733fdaf82da76787fcb9cc270d4a5242,test,administrative,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01169922,e1221e93b73c860c1ee3d36f0f1eb03e671680772527eae23c2a9dd973ff9aab,dev,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01172509,ba58bb18412bb065cfbee4693d24fbafeab3d93f2d8e1c3077774377837e5745,dev,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01173939,ab50f18616889cb6323788ad4f85f4fe2aac54170f3fb009b5d93cb17cecf540,test,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01183130,7da5a0de1c313cc3c704eced33db9791aba3e57b369e786a4018323e96c8b727,test,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01184196,6bfc8abed113363af49254c85186c4b8bf776e4b82d944f30dacdef5a104ca19,test,administrative,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01188954,c167d1a9589ea5e65af754d9a00050080bc1e70bf257437c8b9e50b8d1d7e450,test,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01196169,14a5ec91d80b5fa1779aeee0e1fdf078d1db419e38171891e8ec0591163d185b,dev,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01201213,d0fe5e9cd4b4c1801d2fa032dd184f7a3db682a6861119687aac54e9a67d8927,test,administrative,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01207765,d70fe0d93ab944b2c65b575d290666adeef60f39238dbe305bd391b58a41a7ef,test,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01226420,a153112e6e3b84f3244f1ebb7219436227aa7485ec2e24551b4d66d0a9598377,dev,administrative,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01251120,918c87ce026df2b1794787239df495b6b2228d87657f6c9be2d7cd42a773a143,test,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01256905,d05f500a83ed313c6aa4c184d902ed9ff3435130477a96ed23e8dd4f0a4023ae,dev,administrative,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01267240,9d1694bb6d61c12370edd172b5dd0abf98486669a603372db0dc303389256ccc,dev,efficacy,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01278615,ff0526404d986d51f16207e3a65065ce11d846904e59ccf1752f5859b0dd9b11,test,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01288430,ad34063b3a2a94536083dafb18ee5422cf59f3c1e00c7cdfddf4b2bcfe6f00df,test,business,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01318590,ba1d05d182cadae2b9bf2605b9b7a697d404c5e893858321194b1f2abfd8b971,test,administrative,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01329341,cd4794af45d3c6cc2df61c5aff4348356e5462616d66eef143da4d74c79d6ade,test,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01341106,b26cc389593a9d5c743970d903bed8b4d22e0c843dfaa42e5cb3f27e31ad89e4,test,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01368263,0f8a61d1eb4dc1827985af74ef35da9b40cf90820b04ecef555f52de25a34e99,test,funding,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,majority
NCT01370486,8e9f1e3840f712c5f4ec8b97127cbc986e27968a3a34f369238f9b3f529cbd42,test,administrative,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01375816,9b31cd56193b5e153d2692bf591d445a7f92c23b77c2761a2c25a810191cbc47,test,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01377389,3143fe94c7800fa48b0f0d33c9ecc09fc955882513c3dbfdd7515cbc8a5257cb,test,safety,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01398995,c0b4d77cdc31ce7881a52854f20f5cfec07a496ea570b157b6862ddebc810cac,test,safety,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01424657,c1cba848da4570163a846078c21250459d2f8a62853a36f24bc61aadcc90aba3,test,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,adjudicated
NCT01437826,8ec74b205851a6846171663664e34aa44388b2ac6facb6921428869844b03eff,dev,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01449448,ffd93ef9ce6959e81393ef1a7a2f50bbc2e812e368442da0cbf8c2f8e1210d5a,test,administrative,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01451528,a753c316e1554f78a1a1fcb3cfa3eb5c55681ae34c2d591ccd77b64da24b0893,test,funding,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01452100,88ca58a4d2a1a12a31c3eee2fa6141828264f124b323b5658c9df82fd003785c,test,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01452295,b88ecdea15e0816c1d0a2b6f6048d755aad27b9278eb44d5d6c8ba3ca55650a9,test,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01479998,d0cf28cb18e153d324c693bd8cbaf3f34a779eaa12c9b910a7ad2ccedc83a5ca,test,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01486459,edb482412b512f522bb7a98ecd31037841f7e9e882870a6a01e2e965f6b83034,test,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01499901,fa3ba85a86b0307ed276a744b2fc2a5b3241d1377f322b7190986365c8f916e7,test,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01552993,19a6f6448bdbe1c3b08f26530c53399c27654270f834871bf5d2838829fd6bc9,dev,efficacy,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01563614,a2c4c87f62f882c69e4abada0671c19043b8168bf888cd4baa83feb7a2fa2216,dev,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01565512,fc77d0e0a2e57cf117b9122d0ea8f4dddfffe4b15dcbdf2da4f35717fc4a1b24,test,funding,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01589744,d6216d4fd96a9b84a5e00ddbfaf10041f0f963acf28e67ea623eb123c3b23c36,test,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01601483,ddec9fd8e5b8809c818cc5f6f8ccbeb8a2acd0083cb0eedc783fd76690e91d25,test,administrative,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01612299,cdcb90c50de33a021c91a6d18441239db9fd6b7bace438e5a3827e0e26a8ed5a,test,funding,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01617798,1fe232b93265d41d8777a505b3a1eed842be1e5738e1700ebfa1a3de06afc23c,test,administrative,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01618383,10b64b6da9d5a4809285b26d14193f08fe254c8e932005acff92c8c47868eb99,test,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01618591,00efcaa46d7d6a6aead4c3c6ae7ecab6f1514ef872e69fb1114c6c50371482bc,test,funding,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01634360,efd8388ca045e2aba962d22ca9f0e00f24f3bdf327aa6908e132293e5fe5b07e,test,business,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01649180,b6e1a4e3fda241e2ba36c50deb2d2aa658a5dfdcf7e7b6f14e68226a71291b57,test,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01712074,d6bc3e1c34858590cc1ff568a4a8a4ff465544945afcbf1ac1a4296e2990c648,dev,efficacy,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01712880,7ffacec5f7c63cb79051ebb6a430ef5a77dcf04deeef8a95cce633c102d95ba8,dev,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01723631,809fd09aafa6ea259267250fc3ea6ca18ed1a874d34dd4625b39273cf0daf41b,test,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01734941,917d8a90690235a6caca2b846ca305c93c54879949248f0d9e4a2fdf36b06161,test,efficacy,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01749488,205c7bb671fcc329f5929847ae47d2cfff22ab010b7a2096df184ae628c2283e,test,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01749826,cc742c930a084d80cb3abd7badee66b93fc65ba0330e4bb5e48e94bd511d15d6,test,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01750684,bb2d4035ff98dc0c6174b33679f0b41fc59d6fa44e81b93646e150b96f6eec59,test,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01762852,b0730781a85ce3d29b11ea5fe9a659ba677e0a91d49c9b10abf132d5e6486a34,dev,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01782196,56f3117b8c7d83d5af810c65161d1a7e731f8b6cb678b455fdd59cbb8e50a602,dev,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01783015,7fa1bcb4d76af24395af80367c83daf7465094e35eb614a30903b4dc4c9d4a5e,dev,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01787851,bbeb5dcf3f97c67f02c40ec04ccdb37396a4d9d9a2707617feaf659828d8a7e2,test,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,majority
NCT01819142,b3432c9f41eff18332ad3d598aefdac98fcca3f10da28b289f33a9684756655a,test,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01824602,92a9e9c715cbe7bb46e461ed75ddd84a4a2cc47545f67735a81b7b9c1bd8ad63,test,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01852110,4fefaa2086effe9689c532dfa04d0815f5f0cd0645ab29ec3f372632f80cc3f8,dev,efficacy,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01859052,d90024f5ad3185625be6dee0caec29d00278e9f5958b8047c3fea5cee90cfbe7,test,administrative,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01881997,fe67799f7ca633cd8bb714f888917a58df2584e214e98492b38457cc6ada8685,test,administrative,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01886794,e762d30efc4853d4b45f19d08fba50c52847e5e31ff0f489877d36c40c3ac932,dev,administrative,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01890707,7447bda0282171aaa33f05deb6a769675825b01feea2a95fb59e50f34581c513,test,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01946399,7f5e3ab2f17c442bdbf9bc0613c32bb7fcab0d9326a54f009f2fff0c0ab18bf8,test,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01969565,adc49f17541e15e151806b9ecf81d7f95526d6238e00980e9c79bbc06d401f98,test,administrative,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01979263,8d7e11f818bf7d854942d5f830b8069ffdc44ea5c132ae30103c9c974754d8fd,test,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT01993901,4e235463098452cd1ece71830e55e3c2ac96f8e724745e9dfd23d985f23bb226,test,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT02009943,30aec418ff98676a8227f87768487ba25f0e1b4ab668de61bb0a6ffb5d95ca49,test,funding,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT02010567,520477d387baa386edde0ef4d40547fcf722accb859c239e9436f8f24c30db78,test,funding,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,majority
NCT02029781,3c28c57b9e1853d4f9a2e71b2cbf6db5f6abf6b69660086d095ed4cfb06eee41,test,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT02034461,317596e403dbdf70512210840525040e8a5524377b22b69f0be90e30515c1b3c,test,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT02066363,66ce46f8d5ece3b04245d56672664a332ce33f829431a659617d89f03662463f,test,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT02072616,13727bf5666497f7d495eda82724606fcf64a28e6de904073c2cccc0791bdfd8,test,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT02095522,125b12e3f2180bdd061f0a8b50de98442811c8df36cbaa98c0201cf2b33511be,test,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
